taco_id,original,display
93,"Batata, inglesa, frita",Batata inglesa frita
94,"Batata, inglesa, sauté",Batata inglesa sauté
95,"Berinjela, cozida",Berinjela cozida
96,"Berinjela, crua",Berinjela crua
97,"Beterraba, cozida",Beterraba cozida
98,"Beterraba, crua",Beterraba crua
99,"Biscoito, polvilho doce",Biscoito polvilho doce
100,"Brócolis, cozido",Brócolis cozido
101,"Brócolis, cru",Brócolis cru
102,"Cará, cozido",Cará cozido
103,"Cará, cru",Cará cru
104,"Caruru, cru",Caruru cru
105,"Catalonha, crua",Catalonha crua
106,"Catalonha, refogada",Catalonha refogada
107,"Cebola, crua",Cebola crua
108,"Cebolinha, crua",Cebolinha crua
109,"Cenoura, cozida",Cenoura cozida
110,"Cenoura, crua",Cenoura crua
111,"Chicória, crua",Chicória crua
112,"Chuchu, cozido",Chuchu cozido
113,"Chuchu, cru",Chuchu cru
114,"Coentro, folhas desidratadas",Coentro folhas desidratadas
115,"Couve, manteiga, crua",Couve manteiga crua
116,"Couve, manteiga, refogada",Couve manteiga refogada
117,"Couve-flor, crua",Couve-flor crua
118,"Couve-flor, cozida",Couve-flor cozida
119,"Espinafre, Nova Zelândia, cru",Espinafre nova zelândia cru
120,"Espinafre, Nova Zelândia, refogado",Espinafre nova zelândia refogado
121,"Farinha, de mandioca, crua",Farinha de mandioca crua
122,"Farinha, de mandioca, torrada",Farinha de mandioca torrada
123,"Farinha, de puba",Farinha de puba
124,"Fécula, de mandioca",Fécula de mandioca
125,"Feijão, broto, cru",Feijão broto cru
126,"Inhame, cru",Inhame cru
127,"Jiló, cru",Jiló cru
128,"Jurubeba, crua",Jurubeba crua
129,"Mandioca, cozida",Mandioca cozida
130,"Mandioca, crua",Mandioca crua
131,"Mandioca, farofa, temperada",Mandioca farofa temperada
132,"Mandioca, frita",Mandioca frita
133,"Manjericão, cru",Manjericão cru
134,"Maxixe, cru",Maxixe cru
135,"Mostarda, folha, crua",Mostarda folha crua
136,"Nhoque, batata, cozido",Nhoque batata cozido
137,"Nabo, cru",Nabo cru
138,"Palmito, juçara, em conserva",Palmito juçara em conserva
139,"Palmito, pupunha, em conserva",Palmito pupunha em conserva
140,"Pão, de queijo, assado",Pão de queijo assado
141,"Pão, de queijo, cru",Pão de queijo cru
142,"Pepino, cru",Pepino cru
143,"Pimentão, amarelo, cru",Pimentão amarelo cru
144,"Pimentão, verde, cru",Pimentão verde cru
145,"Pimentão, vermelho, cru",Pimentão vermelho cru
