page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect,taco_match,taco_similarity
50,Figo,74.0,19.2,0.3,0.75,3.3,False,"Figo, cru",0.5
50,Filé de frango (cozido),163.67,0.25,3.53,30.59,0.02,False,"Frango, filé, à milanesa",0.5
50,Filé de frango grelhado,183.63,0.31,6.22,29.66,0.02,False,"Frango, coração, grelhado",0.5
51,Filé mignon (cru),211.18,0.0,10.01,28.32,0.0,False,"Merluza, filé, cru",0.5
51,Fraldinha (crua),207.21,0.0,10.11,27.13,0.0,False,"Carne, bovina, fraldinha, com gordura, crua",0.4
52,Fruta do conde,96.0,24.6,0.2,1.6,1.6,False,Fruta,0.5
54,Gordura vegetal hidrogenada,884.0,,100.0,,,False,"Chantilly, spray, com gordura vegetal",0.4
54,Grão de bico (cozido),164.0,27.4,2.6,8.87,4.9,False,"Grão-de-bico, cru",0.5
54,Grão de bico com linguiça,352.42,36.58,15.97,16.98,7.14,False,"Grão-de-bico, cru",0.5
54,Grão de bico enlatado- Bonduellc®,126.0,,8.2,6.2,5.6,False,"Grão-de-bico, cru",0.4
54,Graviola,66.0,16.8,0.3,1.01,3.3,False,"Graviola, crua",0.5
55,Iogurte diet polpa de morango,48.0,6.6,0.5,,,False,"Iogurte, sabor morango",0.4
56,"Iogurte com mel, suco de laranja e",109.5,17.1,3.1,,,False,"Laranja, baía, suco",0.4
56,Iogurte com pedaços de fruta pêssego,90.5,17.24,,,,False,"Iogurte, sabor pêssego",0.4
56,Iogurte desnatado com polpa de fruta,48.0,7.2,0.5,,,False,"Iogurte, natural, desnatado",0.4
56,Iogurte diet polpa de maracujá,48.0,6.5,0.5,,,False,"Maracujá, polpa, congelada",0.4
56,Iogurte frutas tropicais leite de coco e,96.0,17.3,1.8,,,False,"Leite, de coco",0.4
57,"Iogurte morango com cálcio, ferro e",43.0,5.0,,,,False,"Iogurte, sabor morango",0.4
57,"Iogurte morango, mamão e melão",80.7,14.6,1.2,,,False,"Iogurte, sabor morango",0.4
57,Iogurte natural com mel -Nestlé®,113.0,18.1,2.9,3.6,,False,"Iogurte, natural",0.5
57,"Iogurte natural com mel, suco de ' I I",0.0,17.1,3.0,,,False,"Iogurte, natural",0.4
57,Iogurte natural com suco de morango e,113.0,16.3,3.75,,,False,"Iogurte, natural",0.5
58,Iogurte natural diet-Nestlé®,50.0,6.0,,4.4,,False,"Iogurte, natural",0.5
58,"Iogurte natural laranja, mel e I",13.0,16.3,3.75,,,False,"Iogurte, natural",0.4
59,Iogurte polpa de fruta morango,103.0,16.81,2.6,,,False,"Iogurte, sabor morango",0.4
59,Iogurte polpa de fruta morango,97.9,19.14,0.46,,,False,"Iogurte, sabor morango",0.4
