page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect,taco_match,taco_similarity
30,Canelone à bolonhesa -Nestlé®,168.0,,,8.2,,False,,0.0
31,Cnnjicn,105.18,18.84,2.22,2.72,1.06,False,,0.0
31,Capelete de carne -Frescarini®,282.0,51.1,3.1,12.3,,False,Estrogonofe de carne,0.25
31,"Capelete de frango -Frescarini® 281 ,00",52.5,2.8,,11.4,,False,Estrogonofe de frango,0.167
31,Caqui,78.0,20.0,0.4,0.8,1.9,False,"Caqui, chocolate, cru",0.333
31,Caranguejo (cru),87.0,0.0,1.05,18.0,,False,"Agrião, cru",0.333
32,"Carne moída (refogada) 293, I I",0.86,20.83,2.76,24.09,0.13,False,"Catalonha, refogada",0.167
32,Carpaccio de carne,287.35,0.79,19.77,25.33,0.08,False,Estrogonofe de carne,0.333
32,Casquinha de siri,168.39,2.18,13.45,10.0,0.46,False,,0.0
32,Castanha do Pará sem sal,656.0,12.8,66.2,14.3,5.93,False,"Chocolate, ao leite, com castanha do Pará",0.333
32,Castanha portuguesa,194.0,42.0,,2.9,1.1,False,"Castanha-do-Brasil, crua",0.25
32,Catupiry®,263.9,,23.29,11.37,,False,,0.0
32,Caviar,252.0,4.01,17.9,24.6,0.0,False,,0.0
32,"Cebola I 38,oo",8.64,0.16,0.06,1.17,1.68,False,"Cebola, crua",0.2
32,Cebolinha -Elma Chips®,436.0,76.7,11.2,7.3,,False,"Cebolinha, crua",0.25
33,"I..' H '.<'iii 11.'/~ I :1.~ O,IHI",0.0,,,,,False,,0.0
33,'cnonrll (crnll),43.0,10.1,0.19,1.04,2.6,False,,0.0
33,Cereal infantil arroz com amido de,384.0,85.6,1.3,,,False,Arroz carreteiro,0.2
33,Cereal infantil três cereais -Nestlé,421.0,67.6,9.2,,,False,"Cereais, mingau, milho, infantil",0.286
33,Cereal infantil três frutas- Nestlé,383.0,85.1,,,,False,"Cereal matinal, milho",0.143
33,Cereja fresca,72.0,16.6,0.96,1.21,1.7,False,"Lasanha, massa fresca, cozida",0.2
33,Chá com limão-Lipton Ice Tea®,35.0,8.7,,0.1,,False,Chá,0.2
33,Chá com limão -Parmalat®,37.3,9.26,0.01,,,False,Chá,0.333
33,Chá com menta -Parmalat®,37.0,9.2,0.01,,,False,Chá,0.333
33,Chá com pêssego -Parmalat®,36.5,9.06,0.01,,,False,Chá,0.333
34,Chá mate sabor tangerina -Malte,38.7,9.57,0.03,,,False,"Chá, mate, infusão 5%",0.286
34,Champignon (cogumelo paris),25.0,4.66,0.42,2.1,1.3,False,,0.0
34,Champignon em conserva (cogumelo,24.0,4.97,0.29,,,False,"Tremoço, em conserva",0.25
34,"I ,88",2.6,0.2,2.4,,,False,,0.0
34,Chandelle chocolate branco -Nestlé®,145.0,21.1,5.0,3.9,,False,"Bolo, pronto, chocolate",0.167
34,Chandelle morango -Nestlé® I,37.0,2.0,,3.8,,False,"Morango, cru",0.2
34,"Chantibon para sorvete -Kibon® 33 I ,50",23.7,25.8,,1.1,,False,"Bolo, mistura para",0.111
34,Chantili,369.36,,0.52,1.83,0.0,False,,0.0
34,"Chectos -Elma Chips® 50 I ,00",68.3,22.0,,7.5,,False,"Batata, frita, tipo chips, industrializada",0.1
34,Chcctos bola -Elma Chips®,497.0,68.2,22.0,6.6,,False,"Batata, frita, tipo chips, industrializada",0.125
34,Cheetos tubo -Elma Chips®,494.0,68.0,22.0,6.0,,False,"Batata, frita, tipo chips, industrializada",0.125
34,Cheseburguer-Me Donald's®,267.2,26.96,,12.93,,False,,0.0
35,Chocolate Amaro -Lacta®,537.0,63.0,29.75,4.3,1.0,False,"Bolo, pronto, chocolate",0.2
35,Chocolate Bis -Lacta®,506.5,63.65,23.99,8.24,,False,"Bolo, pronto, chocolate",0.2
35,Chocolate Chargc -Nesllé®,539.0,58.2,30.2,8.7,,False,"Bolo, pronto, chocolate",0.2
35,Chocolate Chockito -Nesllé®,440.6,73.75,14.06,5.0,,False,"Bolo, pronto, chocolate",0.2
35,Chocolate Crunch -Nestlé®,530.0,58.9,27.8,6.7,,False,"Bolo, pronto, chocolate",0.2
